trial_type,trial_index,time_elapsed,rt,stimulus,stimulus_block,stimulus_side,key_press,second_stimulus,two_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,screen_size,block,sub_block,tags1,tags2
bRMS,20,844704,709.8,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,21,845865,577.6,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,22,847645,1221.3,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,23,848730,524.5,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,24,850308,1004.6,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,25,851547,713.5,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,26,852846,744.5,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,27,854072,667,images/f42887_e_100 copy.png,training,1,68,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,28,855034,488.6,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,29,855928,415.4,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,30,856925,511.2,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,31,857871,463.2,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
bRMS,32,859135,700,images/f42887_e_100 copy.png,training,0,75,,FALSE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,,
instructions,33,864403,4851,,,,,,,,,,,,,,,,,
bRMS,34,867911,3366.3,images/f42887_e_025 copy.png,A-B,0,75,images/f42887_e_180 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,35,870801,2332.5,images/f42887_e_025 copy.png,A-B,0,75,images/f42887_e_166 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,36,873616,2259.5,images/f42887_e_121 copy.png,A-B,0,68,images/f42887_e_295 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,37,876192,2007.4,images/f42887_e_121 copy.png,A-B,0,68,images/f42887_e_200 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,38,878011,1256.9,images/f42887_e_298 copy.png,A-B,1,75,images/f42887_e_120 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,39,879596,1014,images/f42887_e_064 copy.png,A-B,0,68,images/f42887_e_287 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,40,882610,2444.3,images/f42887_e_005 copy.png,A-B,1,75,images/f42887_e_289 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,41,885765,2595.1,images/f42887_e_298 copy.png,A-B,0,75,images/f42887_e_065 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,42,889195,2876.9,images/f42887_e_252 copy.png,A-B,0,68,images/f42887_e_016 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,43,891591,1823.3,images/f42887_e_064 copy.png,A-B,0,75,images/f42887_e_080 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,44,893858,1719.3,images/f42887_e_058 copy.png,A-B,1,68,images/f42887_e_056 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,45,895183,752.8,images/f42887_e_127 copy.png,A-B,1,75,images/f42887_e_004 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,46,896801,1055.5,images/f42887_e_156 copy.png,A-B,0,75,images/f42887_e_054 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
bRMS,47,898283,938.1,images/f42887_e_058 copy.png,A-B,1,68,images/f42887_e_191 copy.png,TRUE,400,1,FALSE,0,Windows 10,Chrome 105 (105.0.0.0),,63,63,['A'],['B']
