Participant_number,dominant_priority,rt,Priority_difference,chosen_pr,Chose_priority,Side,Previous_Side,Different?,New participant,stimulus_block
4,-1363.062003,919.3000002,962.353316,-2325.415319,0,Left,Left,no,no,D-E
4,-1345.997317,966.3000002,979.418002,-2325.415319,0,Left,Right,no,no,D-E
4,-1263.727426,823.0999999,854.625342,-1263.727426,1,Right,Left,yes,no,D-E
4,1255.024952,1255.7,3675.183235,-2420.158283,0,Left,Left,yes,no,A-E
4,1166.521266,1225.8,3441.655442,1166.521266,1,Left,Right,no,no,A-E
4,1453.011627,1159.5,3876.97501,1453.011627,1,Right,Left,yes,no,A-E
4,1924.715546,1224.6,4250.130865,1924.715546,1,Left,Right,yes,no,A-E
4,1129.688426,821.8000002,3353.074856,-2223.38643,0,Right,Right,yes,no,A-E
4,2002.718236,1388.1,4557.339171,2002.718236,1,Right,Left,no,no,A-E
4,1560.242807,1708.4,3678.595575,1560.242807,1,Left,Left,yes,no,A-E
4,2002.718236,1990.5,4862.334135,-2859.615899,0,Left,Right,no,no,A-E
4,1255.024952,929.3999996,3698.990158,-2443.965206,0,Right,Left,yes,no,A-E
4,1560.242807,1203.7,3837.757307,1560.242807,1,Left,Right,yes,no,A-E
4,1453.011627,754.7000003,3717.280442,1453.011627,1,Right,Right,yes,no,A-E
4,1572.12696,1703.8,3897.542279,1572.12696,1,Right,Right,no,no,A-E
4,1941.175699,2353.9,3946.054006,1941.175699,1,Right,Right,no,no,A-E
4,1129.688426,2070.6,3549.846709,-2420.158283,0,Right,Left,no,no,A-E
4,1941.175699,1352.8,3922.366434,1941.175699,1,Left,Right,yes,no,A-E
4,1166.521266,2397.6,3141.340232,-1974.818966,0,Right,Left,yes,no,A-E
4,1572.12696,1094.5,3996.090343,1572.12696,1,Left,Right,yes,no,A-E
4,1166.521266,1753.9,3430.790081,1166.521266,1,Left,Left,yes,no,A-E
4,1129.688426,2335.5,3407.202926,1129.688426,1,Left,Left,no,no,A-E
4,2002.718236,2567,4007.596543,2002.718236,1,Left,Right,no,no,A-E
4,1572.12696,2976.2,3996.090343,-2423.963383,0,Right,Left,yes,no,A-E
4,1166.521266,2566.5,3147.712001,1166.521266,1,Left,Left,yes,no,A-E
4,1255.024952,2838.4,3373.37772,-2118.352768,0,Left,Right,no,no,A-E
4,2002.718236,2717.8,4446.683442,-2443.965206,0,Right,Left,yes,no,A-E
4,1941.175699,2971.3,4361.333982,-2420.158283,0,Left,Right,yes,no,A-E
4,1255.024952,3233.8,3809.645887,1255.024952,1,Right,Right,yes,no,A-E
4,1572.12696,2065.4,3847.261136,1572.12696,1,Right,Left,no,no,A-E
4,1560.242807,2035.9,3885.658126,1560.242807,1,Left,Right,yes,no,A-E
4,1560.242807,1328.8,3984.20619,1560.242807,1,Right,Left,yes,no,A-E
4,1453.011627,1938.8,4312.627526,1453.011627,1,Left,Left,yes,no,A-E
4,1453.011627,3088.1,3778.426946,1453.011627,1,Left,Right,no,no,A-E
4,1129.688426,2353.2,3549.846709,1129.688426,1,Right,Right,yes,no,A-E
4,1941.175699,1942.7,4164.562129,1941.175699,1,Right,Right,no,no,A-E
4,1924.715546,2398.8,3899.534512,1924.715546,1,Right,Left,no,no,A-E
5,1572.12696,1640.6,582.4908373,989.6361227,0,Left,Left,yes,yes,A-B
5,1453.011627,611.7000003,427.947985,1453.011627,1,Left,Left,no,no,A-B
5,1129.688426,977.2999997,875.5087497,254.1796763,0,Left,Left,no,no,A-B
5,1166.521266,1210.6,169.7814971,996.7397689,0,Left,Right,no,no,A-B
5,2002.718236,1172.8,986.341953,1016.376283,0,Right,Right,yes,no,A-B
5,1166.521266,1829.2,243.6534615,1166.521266,1,Right,Right,no,no,A-B
5,1941.175699,1780.9,1007.46999,933.705709,0,Right,Left,no,no,A-B
5,1129.688426,898.5,919.3635984,210.3248276,0,Left,Right,yes,no,A-B
5,1560.242807,605.2999997,1343.255224,216.987583,0,Right,Left,yes,no,A-B
5,1453.011627,833.4000001,1224.401822,1453.011627,1,Left,Right,yes,no,A-B
5,2002.718236,1019.7,1740.475344,2002.718236,1,Right,Left,yes,no,A-B
